INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
57	55	16711	199231	14632	110183	81937	330548	81937	330548	21948	165274	21948	165274	81937	330548	14632	110183	81937	330548	81937	330548	21948	165274	21948	165274	81937	330548	14632	110183	81937	330548	81937	330548	21948	165274	21948	165274	81937	330548	14632	110183	81937	330548	81937	330548	21948	165274	21948	165274	81937	330548	14632	110183	81937	330548	81937	330548	21948	165274	21948	165274	81937	330548	14632	110183	81937	330548	81937	330548	21948	165274	21948	165274	81937	330548	14632	110183	81937	330548	81937	330548	21948	165274	21948	165274	81937	330548	14632	110183	81937	330548	81937	330548	21948	165274	21948	165274	81937	330548	14632	110183	81937	330548	81937	330548	21948	165274	21948	165274	81937	330548	87790	440730	87790	440730	87790	440730	87790	440730	87790	440730	87790	440730	87790	440730	87790	440730	87790	440730	14632	110183	81937	330548	81937	330548	21948	165274	21948	165274	81937	330548	87790	440730	75199	896539	75199	896539	75199	896539	75199	896539	75199	896539	75199	896539	75199	896539	75199	896539	75199	896539	75199	896539
58	56	17821	211320	15332	117495	85861	352485	85861	352485	22999	176243	22999	176243	85861	352485	15332	117495	85861	352485	85861	352485	22999	176243	22999	176243	85861	352485	15332	117495	85861	352485	85861	352485	22999	176243	22999	176243	85861	352485	15332	117495	85861	352485	85861	352485	22999	176243	22999	176243	85861	352485	15332	117495	85861	352485	85861	352485	22999	176243	22999	176243	85861	352485	15332	117495	85861	352485	85861	352485	22999	176243	22999	176243	85861	352485	15332	117495	85861	352485	85861	352485	22999	176243	22999	176243	85861	352485	15332	117495	85861	352485	85861	352485	22999	176243	22999	176243	85861	352485	15332	117495	85861	352485	85861	352485	22999	176243	22999	176243	85861	352485	91994	469980	91994	469980	91994	469980	91994	469980	91994	469980	91994	469980	91994	469980	91994	469980	91994	469980	15332	117495	85861	352485	85861	352485	22999	176243	22999	176243	85861	352485	91994	469980	80194	950940	80194	950940	80194	950940	80194	950940	80194	950940	80194	950940	80194	950940	80194	950940	80194	950940	80194	950940
59	57	18983	223919	16116	125127	90249	375380	90249	375380	24174	187690	24174	187690	90249	375380	16116	125127	90249	375380	90249	375380	24174	187690	24174	187690	90249	375380	16116	125127	90249	375380	90249	375380	24174	187690	24174	187690	90249	375380	16116	125127	90249	375380	90249	375380	24174	187690	24174	187690	90249	375380	16116	125127	90249	375380	90249	375380	24174	187690	24174	187690	90249	375380	16116	125127	90249	375380	90249	375380	24174	187690	24174	187690	90249	375380	16116	125127	90249	375380	90249	375380	24174	187690	24174	187690	90249	375380	16116	125127	90249	375380	90249	375380	24174	187690	24174	187690	90249	375380	16116	125127	90249	375380	90249	375380	24174	187690	24174	187690	90249	375380	96696	500506	96696	500506	96696	500506	96696	500506	96696	500506	96696	500506	96696	500506	96696	500506	96696	500506	16116	125127	90249	375380	90249	375380	24174	187690	24174	187690	90249	375380	96696	500506	85423	1007635	85423	1007635	85423	1007635	85423	1007635	85423	1007635	85423	1007635	85423	1007635	85423	1007635	85423	1007635	85423	1007635
60	58	20199	237038	16983	133083	95103	399249	95103	399249	25474	199625	25474	199625	95103	399249	16983	133083	95103	399249	95103	399249	25474	199625	25474	199625	95103	399249	16983	133083	95103	399249	95103	399249	25474	199625	25474	199625	95103	399249	16983	133083	95103	399249	95103	399249	25474	199625	25474	199625	95103	399249	16983	133083	95103	399249	95103	399249	25474	199625	25474	199625	95103	399249	16983	133083	95103	399249	95103	399249	25474	199625	25474	199625	95103	399249	16983	133083	95103	399249	95103	399249	25474	199625	25474	199625	95103	399249	16983	133083	95103	399249	95103	399249	25474	199625	25474	199625	95103	399249	16983	133083	95103	399249	95103	399249	25474	199625	25474	199625	95103	399249	101896	532332	101896	532332	101896	532332	101896	532332	101896	532332	101896	532332	101896	532332	101896	532332	101896	532332	16983	133083	95103	399249	95103	399249	25474	199625	25474	199625	95103	399249	101896	532332	90895	1066671	90895	1066671	90895	1066671	90895	1066671	90895	1066671	90895	1066671	90895	1066671	90895	1066671	90895	1066671	90895	1066671
61	59	21469	250690	17933	141372	100422	424116	100422	424116	26899	212058	26899	212058	100422	424116	17933	141372	100422	424116	100422	424116	26899	212058	26899	212058	100422	424116	17933	141372	100422	424116	100422	424116	26899	212058	26899	212058	100422	424116	17933	141372	100422	424116	100422	424116	26899	212058	26899	212058	100422	424116	17933	141372	100422	424116	100422	424116	26899	212058	26899	212058	100422	424116	17933	141372	100422	424116	100422	424116	26899	212058	26899	212058	100422	424116	17933	141372	100422	424116	100422	424116	26899	212058	26899	212058	100422	424116	17933	141372	100422	424116	100422	424116	26899	212058	26899	212058	100422	424116	17933	141372	100422	424116	100422	424116	26899	212058	26899	212058	100422	424116	107595	565488	107595	565488	107595	565488	107595	565488	107595	565488	107595	565488	107595	565488	107595	565488	107595	565488	17933	141372	100422	424116	100422	424116	26899	212058	26899	212058	100422	424116	107595	565488	96610	1128105	96610	1128105	96610	1128105	96610	1128105	96610	1128105	96610	1128105	96610	1128105	96610	1128105	96610	1128105	96610	1128105
62	60	22795	264883	18966	150000	106206	450000	106206	450000	28448	225000	28448	225000	106206	450000	18966	150000	106206	450000	106206	450000	28448	225000	28448	225000	106206	450000	18966	150000	106206	450000	106206	450000	28448	225000	28448	225000	106206	450000	18966	150000	106206	450000	106206	450000	28448	225000	28448	225000	106206	450000	18966	150000	106206	450000	106206	450000	28448	225000	28448	225000	106206	450000	18966	150000	106206	450000	106206	450000	28448	225000	28448	225000	106206	450000	18966	150000	106206	450000	106206	450000	28448	225000	28448	225000	106206	450000	18966	150000	106206	450000	106206	450000	28448	225000	28448	225000	106206	450000	18966	150000	106206	450000	106206	450000	28448	225000	28448	225000	106206	450000	113793	600000	113793	600000	113793	600000	113793	600000	113793	600000	113793	600000	113793	600000	113793	600000	113793	600000	18966	150000	106206	450000	106206	450000	28448	225000	28448	225000	106206	450000	113793	600000	102577	1191973	102577	1191973	102577	1191973	102577	1191973	102577	1191973	102577	1191973	102577	1191973	102577	1191973	102577	1191973	102577	1191973
63	61	24178	279630	20081	158974	112456	476922	112456	476922	30122	238461	30122	238461	112456	476922	20081	158974	112456	476922	112456	476922	30122	238461	30122	238461	112456	476922	20081	158974	112456	476922	112456	476922	30122	238461	30122	238461	112456	476922	20081	158974	112456	476922	112456	476922	30122	238461	30122	238461	112456	476922	20081	158974	112456	476922	112456	476922	30122	238461	30122	238461	112456	476922	20081	158974	112456	476922	112456	476922	30122	238461	30122	238461	112456	476922	20081	158974	112456	476922	112456	476922	30122	238461	30122	238461	112456	476922	20081	158974	112456	476922	112456	476922	30122	238461	30122	238461	112456	476922	20081	158974	112456	476922	112456	476922	30122	238461	30122	238461	112456	476922	120488	635896	120488	635896	120488	635896	120488	635896	120488	635896	120488	635896	120488	635896	120488	635896	120488	635896	20081	158974	112456	476922	112456	476922	30122	238461	30122	238461	112456	476922	120488	635896	108801	1258335	108801	1258335	108801	1258335	108801	1258335	108801	1258335	108801	1258335	108801	1258335	108801	1258335	108801	1258335	108801	1258335
64	62	25619	294941	21280	168300	119170	504900	119170	504900	31921	252450	31921	252450	119170	504900	21280	168300	119170	504900	119170	504900	31921	252450	31921	252450	119170	504900	21280	168300	119170	504900	119170	504900	31921	252450	31921	252450	119170	504900	21280	168300	119170	504900	119170	504900	31921	252450	31921	252450	119170	504900	21280	168300	119170	504900	119170	504900	31921	252450	31921	252450	119170	504900	21280	168300	119170	504900	119170	504900	31921	252450	31921	252450	119170	504900	21280	168300	119170	504900	119170	504900	31921	252450	31921	252450	119170	504900	21280	168300	119170	504900	119170	504900	31921	252450	31921	252450	119170	504900	21280	168300	119170	504900	119170	504900	31921	252450	31921	252450	119170	504900	127682	673200	127682	673200	127682	673200	127682	673200	127682	673200	127682	673200	127682	673200	127682	673200	127682	673200	21280	168300	119170	504900	119170	504900	31921	252450	31921	252450	119170	504900	127682	673200	115285	1327234	115285	1327234	115285	1327234	115285	1327234	115285	1327234	115285	1327234	115285	1327234	115285	1327234	115285	1327234	115285	1327234
65	63	27121	310826	22563	177986	126350	533957	126350	533957	33844	266978	33844	266978	126350	533957	22563	177986	126350	533957	126350	533957	33844	266978	33844	266978	126350	533957	22563	177986	126350	533957	126350	533957	33844	266978	33844	266978	126350	533957	22563	177986	126350	533957	126350	533957	33844	266978	33844	266978	126350	533957	22563	177986	126350	533957	126350	533957	33844	266978	33844	266978	126350	533957	22563	177986	126350	533957	126350	533957	33844	266978	33844	266978	126350	533957	22563	177986	126350	533957	126350	533957	33844	266978	33844	266978	126350	533957	22563	177986	126350	533957	126350	533957	33844	266978	33844	266978	126350	533957	22563	177986	126350	533957	126350	533957	33844	266978	33844	266978	126350	533957	135375	711942	135375	711942	135375	711942	135375	711942	135375	711942	135375	711942	135375	711942	135375	711942	135375	711942	22563	177986	126350	533957	126350	533957	33844	266978	33844	266978	126350	533957	135375	711942	122044	1398717	122044	1398717	122044	1398717	122044	1398717	122044	1398717	122044	1398717	122044	1398717	122044	1398717	122044	1398717	122044	1398717
66	64	28682	327298	23928	188037	133994	564111	133994	564111	35891	282056	35891	282056	133994	564111	23928	188037	133994	564111	133994	564111	35891	282056	35891	282056	133994	564111	23928	188037	133994	564111	133994	564111	35891	282056	35891	282056	133994	564111	23928	188037	133994	564111	133994	564111	35891	282056	35891	282056	133994	564111	23928	188037	133994	564111	133994	564111	35891	282056	35891	282056	133994	564111	23928	188037	133994	564111	133994	564111	35891	282056	35891	282056	133994	564111	23928	188037	133994	564111	133994	564111	35891	282056	35891	282056	133994	564111	23928	188037	133994	564111	133994	564111	35891	282056	35891	282056	133994	564111	23928	188037	133994	564111	133994	564111	35891	282056	35891	282056	133994	564111	143565	752148	143565	752148	143565	752148	143565	752148	143565	752148	143565	752148	143565	752148	143565	752148	143565	752148	23928	188037	133994	564111	133994	564111	35891	282056	35891	282056	133994	564111	143565	752148	129069	1472841	129069	1472841	129069	1472841	129069	1472841	129069	1472841	129069	1472841	129069	1472841	129069	1472841	129069	1472841	129069	1472841
67	65	30306	344366	25376	198462	142104	595385	142104	595385	38064	297692	38064	297692	142104	595385	25376	198462	142104	595385	142104	595385	38064	297692	38064	297692	142104	595385	25376	198462	142104	595385	142104	595385	38064	297692	38064	297692	142104	595385	25376	198462	142104	595385	142104	595385	38064	297692	38064	297692	142104	595385	25376	198462	142104	595385	142104	595385	38064	297692	38064	297692	142104	595385	25376	198462	142104	595385	142104	595385	38064	297692	38064	297692	142104	595385	25376	198462	142104	595385	142104	595385	38064	297692	38064	297692	142104	595385	25376	198462	142104	595385	142104	595385	38064	297692	38064	297692	142104	595385	25376	198462	142104	595385	142104	595385	38064	297692	38064	297692	142104	595385	152255	793846	152255	793846	152255	793846	152255	793846	152255	793846	152255	793846	152255	793846	152255	793846	152255	793846	25376	198462	142104	595385	142104	595385	38064	297692	38064	297692	142104	595385	152255	793846	136377	1549647	136377	1549647	136377	1549647	136377	1549647	136377	1549647	136377	1549647	136377	1549647	136377	1549647	136377	1549647	136377	1549647
68	66	31994	362040	26907	209738	150679	629213	150679	629213	40361	314606	40361	314606	150679	629213	26907	209738	150679	629213	150679	629213	40361	314606	40361	314606	150679	629213	26907	209738	150679	629213	150679	629213	40361	314606	40361	314606	150679	629213	26907	209738	150679	629213	150679	629213	40361	314606	40361	314606	150679	629213	26907	209738	150679	629213	150679	629213	40361	314606	40361	314606	150679	629213	26907	209738	150679	629213	150679	629213	40361	314606	40361	314606	150679	629213	26907	209738	150679	629213	150679	629213	40361	314606	40361	314606	150679	629213	26907	209738	150679	629213	150679	629213	40361	314606	40361	314606	150679	629213	26907	209738	150679	629213	150679	629213	40361	314606	40361	314606	150679	629213	161442	838950	161442	838950	161442	838950	161442	838950	161442	838950	161442	838950	161442	838950	161442	838950	161442	838950	26907	209738	150679	629213	150679	629213	40361	314606	40361	314606	150679	629213	161442	838950	143973	1629180	143973	1629180	143973	1629180	143973	1629180	143973	1629180	143973	1629180	143973	1629180	143973	1629180	143973	1629180	143973	1629180
69	67	33745	380333	28521	222319	159720	666957	159720	666957	42782	333479	42782	333479	159720	666957	28521	222319	159720	666957	159720	666957	42782	333479	42782	333479	159720	666957	28521	222319	159720	666957	159720	666957	42782	333479	42782	333479	159720	666957	28521	222319	159720	666957	159720	666957	42782	333479	42782	333479	159720	666957	28521	222319	159720	666957	159720	666957	42782	333479	42782	333479	159720	666957	28521	222319	159720	666957	159720	666957	42782	333479	42782	333479	159720	666957	28521	222319	159720	666957	159720	666957	42782	333479	42782	333479	159720	666957	28521	222319	159720	666957	159720	666957	42782	333479	42782	333479	159720	666957	28521	222319	159720	666957	159720	666957	42782	333479	42782	333479	159720	666957	171128	889276	171128	889276	171128	889276	171128	889276	171128	889276	171128	889276	171128	889276	171128	889276	171128	889276	28521	222319	159720	666957	159720	666957	42782	333479	42782	333479	159720	666957	171128	889276	151852	1711498	151852	1711498	151852	1711498	151852	1711498	151852	1711498	151852	1711498	151852	1711498	151852	1711498	151852	1711498	151852	1711498
70	68	35563	399254	30219	236250	169225	708750	169225	708750	45328	354375	45328	354375	169225	708750	30219	236250	169225	708750	169225	708750	45328	354375	45328	354375	169225	708750	30219	236250	169225	708750	169225	708750	45328	354375	45328	354375	169225	708750	30219	236250	169225	708750	169225	708750	45328	354375	45328	354375	169225	708750	30219	236250	169225	708750	169225	708750	45328	354375	45328	354375	169225	708750	30219	236250	169225	708750	169225	708750	45328	354375	45328	354375	169225	708750	30219	236250	169225	708750	169225	708750	45328	354375	45328	354375	169225	708750	30219	236250	169225	708750	169225	708750	45328	354375	45328	354375	169225	708750	30219	236250	169225	708750	169225	708750	45328	354375	45328	354375	169225	708750	181313	945000	181313	945000	181313	945000	181313	945000	181313	945000	181313	945000	181313	945000	181313	945000	181313	945000	30219	236250	169225	708750	169225	708750	45328	354375	45328	354375	169225	708750	181313	945000	160033	1796643	160033	1796643	160033	1796643	160033	1796643	160033	1796643	160033	1796643	160033	1796643	160033	1796643	160033	1796643	160033	1796643
71	69	37447	418816	31999	251577	179196	754730	179196	754730	47999	377365	47999	377365	179196	754730	31999	251577	179196	754730	179196	754730	47999	377365	47999	377365	179196	754730	31999	251577	179196	754730	179196	754730	47999	377365	47999	377365	179196	754730	31999	251577	179196	754730	179196	754730	47999	377365	47999	377365	179196	754730	31999	251577	179196	754730	179196	754730	47999	377365	47999	377365	179196	754730	31999	251577	179196	754730	179196	754730	47999	377365	47999	377365	179196	754730	31999	251577	179196	754730	179196	754730	47999	377365	47999	377365	179196	754730	31999	251577	179196	754730	179196	754730	47999	377365	47999	377365	179196	754730	31999	251577	179196	754730	179196	754730	47999	377365	47999	377365	179196	754730	191995	1006306	191995	1006306	191995	1006306	191995	1006306	191995	1006306	191995	1006306	191995	1006306	191995	1006306	191995	1006306	31999	251577	179196	754730	179196	754730	47999	377365	47999	377365	179196	754730	191995	1006306	168511	1884672	168511	1884672	168511	1884672	168511	1884672	168511	1884672	168511	1884672	168511	1884672	168511	1884672	168511	1884672	168511	1884672
72	70	39400	438761	33863	268343	189631	805028	189631	805028	50794	402514	50794	402514	189631	805028	33863	268343	189631	805028	189631	805028	50794	402514	50794	402514	189631	805028	33863	268343	189631	805028	189631	805028	50794	402514	50794	402514	189631	805028	33863	268343	189631	805028	189631	805028	50794	402514	50794	402514	189631	805028	33863	268343	189631	805028	189631	805028	50794	402514	50794	402514	189631	805028	33863	268343	189631	805028	189631	805028	50794	402514	50794	402514	189631	805028	33863	268343	189631	805028	189631	805028	50794	402514	50794	402514	189631	805028	33863	268343	189631	805028	189631	805028	50794	402514	50794	402514	189631	805028	33863	268343	189631	805028	189631	805028	50794	402514	50794	402514	189631	805028	203176	1073370	203176	1073370	203176	1073370	203176	1073370	203176	1073370	203176	1073370	203176	1073370	203176	1073370	203176	1073370	33863	268343	189631	805028	189631	805028	50794	402514	50794	402514	189631	805028	203176	1073370	177300	1974424	177300	1974424	177300	1974424	177300	1974424	177300	1974424	177300	1974424	177300	1974424	177300	1974424	177300	1974424	177300	1974424
73	71	41423	459090	35809	286594	200532	859782	200532	859782	53714	429891	53714	429891	200532	859782	35809	286594	200532	859782	200532	859782	53714	429891	53714	429891	200532	859782	35809	286594	200532	859782	200532	859782	53714	429891	53714	429891	200532	859782	35809	286594	200532	859782	200532	859782	53714	429891	53714	429891	200532	859782	35809	286594	200532	859782	200532	859782	53714	429891	53714	429891	200532	859782	35809	286594	200532	859782	200532	859782	53714	429891	53714	429891	200532	859782	35809	286594	200532	859782	200532	859782	53714	429891	53714	429891	200532	859782	35809	286594	200532	859782	200532	859782	53714	429891	53714	429891	200532	859782	35809	286594	200532	859782	200532	859782	53714	429891	53714	429891	200532	859782	214856	1146376	214856	1146376	214856	1146376	214856	1146376	214856	1146376	214856	1146376	214856	1146376	214856	1146376	214856	1146376	35809	286594	200532	859782	200532	859782	53714	429891	53714	429891	200532	859782	214856	1146376	186403	2065905	186403	2065905	186403	2065905	186403	2065905	186403	2065905	186403	2065905	186403	2065905	186403	2065905	186403	2065905	186403	2065905
74	72	43515	479803	37839	306375	211898	919125	211898	919125	56759	459563	56759	459563	211898	919125	37839	306375	211898	919125	211898	919125	56759	459563	56759	459563	211898	919125	37839	306375	211898	919125	211898	919125	56759	459563	56759	459563	211898	919125	37839	306375	211898	919125	211898	919125	56759	459563	56759	459563	211898	919125	37839	306375	211898	919125	211898	919125	56759	459563	56759	459563	211898	919125	37839	306375	211898	919125	211898	919125	56759	459563	56759	459563	211898	919125	37839	306375	211898	919125	211898	919125	56759	459563	56759	459563	211898	919125	37839	306375	211898	919125	211898	919125	56759	459563	56759	459563	211898	919125	37839	306375	211898	919125	211898	919125	56759	459563	56759	459563	211898	919125	227034	1225500	227034	1225500	227034	1225500	227034	1225500	227034	1225500	227034	1225500	227034	1225500	227034	1225500	227034	1225500	37839	306375	211898	919125	211898	919125	56759	459563	56759	459563	211898	919125	227034	1225500	195817	2159113	195817	2159113	195817	2159113	195817	2159113	195817	2159113	195817	2159113	195817	2159113	195817	2159113	195817	2159113	195817	2159113
75	73	45680	500901	39952	327732	223729	983195	223729	983195	59928	491597	59928	491597	223729	983195	39952	327732	223729	983195	223729	983195	59928	491597	59928	491597	223729	983195	39952	327732	223729	983195	223729	983195	59928	491597	59928	491597	223729	983195	39952	327732	223729	983195	223729	983195	59928	491597	59928	491597	223729	983195	39952	327732	223729	983195	223729	983195	59928	491597	59928	491597	223729	983195	39952	327732	223729	983195	223729	983195	59928	491597	59928	491597	223729	983195	39952	327732	223729	983195	223729	983195	59928	491597	59928	491597	223729	983195	39952	327732	223729	983195	223729	983195	59928	491597	59928	491597	223729	983195	39952	327732	223729	983195	223729	983195	59928	491597	59928	491597	223729	983195	239710	1310926	239710	1310926	239710	1310926	239710	1310926	239710	1310926	239710	1310926	239710	1310926	239710	1310926	239710	1310926	39952	327732	223729	983195	223729	983195	59928	491597	59928	491597	223729	983195	239710	1310926	205560	2254054	205560	2254054	205560	2254054	205560	2254054	205560	2254054	205560	2254054	205560	2254054	205560	2254054	205560	2254054	205560	2254054
76	74	47918	522382	42147	350708	236025	1052123	236025	1052123	63221	526061	63221	526061	236025	1052123	42147	350708	236025	1052123	236025	1052123	63221	526061	63221	526061	236025	1052123	42147	350708	236025	1052123	236025	1052123	63221	526061	63221	526061	236025	1052123	42147	350708	236025	1052123	236025	1052123	63221	526061	63221	526061	236025	1052123	42147	350708	236025	1052123	236025	1052123	63221	526061	63221	526061	236025	1052123	42147	350708	236025	1052123	236025	1052123	63221	526061	63221	526061	236025	1052123	42147	350708	236025	1052123	236025	1052123	63221	526061	63221	526061	236025	1052123	42147	350708	236025	1052123	236025	1052123	63221	526061	63221	526061	236025	1052123	42147	350708	236025	1052123	236025	1052123	63221	526061	63221	526061	236025	1052123	252884	1402830	252884	1402830	252884	1402830	252884	1402830	252884	1402830	252884	1402830	252884	1402830	252884	1402830	252884	1402830	42147	350708	236025	1052123	236025	1052123	63221	526061	63221	526061	236025	1052123	252884	1402830	215631	2350719	215631	2350719	215631	2350719	215631	2350719	215631	2350719	215631	2350719	215631	2350719	215631	2350719	215631	2350719	215631	2350719
77	75	50200	544247	44426	376534	248787	1129602	248787	1129602	66639	564801	66639	564801	248787	1129602	44426	376534	248787	1129602	248787	1129602	66639	564801	66639	564801	248787	1129602	44426	376534	248787	1129602	248787	1129602	66639	564801	66639	564801	248787	1129602	44426	376534	248787	1129602	248787	1129602	66639	564801	66639	564801	248787	1129602	44426	376534	248787	1129602	248787	1129602	66639	564801	66639	564801	248787	1129602	44426	376534	248787	1129602	248787	1129602	66639	564801	66639	564801	248787	1129602	44426	376534	248787	1129602	248787	1129602	66639	564801	66639	564801	248787	1129602	44426	376534	248787	1129602	248787	1129602	66639	564801	66639	564801	248787	1129602	44426	376534	248787	1129602	248787	1129602	66639	564801	66639	564801	248787	1129602	266557	1506136	266557	1506136	266557	1506136	266557	1506136	266557	1506136	266557	1506136	266557	1506136	266557	1506136	266557	1506136	44426	376534	248787	1129602	248787	1129602	66639	564801	66639	564801	248787	1129602	266557	1506136	225900	2449111	225900	2449111	225900	2449111	225900	2449111	225900	2449111	225900	2449111	225900	2449111	225900	2449111	225900	2449111	225900	2449111
78	76	52526	566496	46788	405300	262013	1215900	262013	1215900	70182	607950	70182	607950	262013	1215900	46788	405300	262013	1215900	262013	1215900	70182	607950	70182	607950	262013	1215900	46788	405300	262013	1215900	262013	1215900	70182	607950	70182	607950	262013	1215900	46788	405300	262013	1215900	262013	1215900	70182	607950	70182	607950	262013	1215900	46788	405300	262013	1215900	262013	1215900	70182	607950	70182	607950	262013	1215900	46788	405300	262013	1215900	262013	1215900	70182	607950	70182	607950	262013	1215900	46788	405300	262013	1215900	262013	1215900	70182	607950	70182	607950	262013	1215900	46788	405300	262013	1215900	262013	1215900	70182	607950	70182	607950	262013	1215900	46788	405300	262013	1215900	262013	1215900	70182	607950	70182	607950	262013	1215900	280729	1621200	280729	1621200	280729	1621200	280729	1621200	280729	1621200	280729	1621200	280729	1621200	280729	1621200	280729	1621200	46788	405300	262013	1215900	262013	1215900	70182	607950	70182	607950	262013	1215900	280729	1621200	236367	2549232	236367	2549232	236367	2549232	236367	2549232	236367	2549232	236367	2549232	236367	2549232	236367	2549232	236367	2549232	236367	2549232
79	77	54896	589130	49233	437097	275705	1311290	275705	1311290	73850	655645	73850	655645	275705	1311290	49233	437097	275705	1311290	275705	1311290	73850	655645	73850	655645	275705	1311290	49233	437097	275705	1311290	275705	1311290	73850	655645	73850	655645	275705	1311290	49233	437097	275705	1311290	275705	1311290	73850	655645	73850	655645	275705	1311290	49233	437097	275705	1311290	275705	1311290	73850	655645	73850	655645	275705	1311290	49233	437097	275705	1311290	275705	1311290	73850	655645	73850	655645	275705	1311290	49233	437097	275705	1311290	275705	1311290	73850	655645	73850	655645	275705	1311290	49233	437097	275705	1311290	275705	1311290	73850	655645	73850	655645	275705	1311290	49233	437097	275705	1311290	275705	1311290	73850	655645	73850	655645	275705	1311290	295398	1748386	295398	1748386	295398	1748386	295398	1748386	295398	1748386	295398	1748386	295398	1748386	295398	1748386	295398	1748386	49233	437097	275705	1311290	275705	1311290	73850	655645	73850	655645	275705	1311290	295398	1748386	247032	2651085	247032	2651085	247032	2651085	247032	2651085	247032	2651085	247032	2651085	247032	2651085	247032	2651085	247032	2651085	247032	2651085
80	78	57310	612146	51761	472013	289862	1416038	289862	1416038	77642	708019	77642	708019	289862	1416038	51761	472013	289862	1416038	289862	1416038	77642	708019	77642	708019	289862	1416038	51761	472013	289862	1416038	289862	1416038	77642	708019	77642	708019	289862	1416038	51761	472013	289862	1416038	289862	1416038	77642	708019	77642	708019	289862	1416038	51761	472013	289862	1416038	289862	1416038	77642	708019	77642	708019	289862	1416038	51761	472013	289862	1416038	289862	1416038	77642	708019	77642	708019	289862	1416038	51761	472013	289862	1416038	289862	1416038	77642	708019	77642	708019	289862	1416038	51761	472013	289862	1416038	289862	1416038	77642	708019	77642	708019	289862	1416038	51761	472013	289862	1416038	289862	1416038	77642	708019	77642	708019	289862	1416038	310567	1888050	310567	1888050	310567	1888050	310567	1888050	310567	1888050	310567	1888050	310567	1888050	310567	1888050	310567	1888050	51761	472013	289862	1416038	289862	1416038	77642	708019	77642	708019	289862	1416038	310567	1888050	257895	2754657	257895	2754657	257895	2754657	257895	2754657	257895	2754657	257895	2754657	257895	2754657	257895	2754657	257895	2754657	257895	2754657
81	79	59768	635548	54372	510139	304484	1530417	304484	1530417	81558	765209	81558	765209	304484	1530417	54372	510139	304484	1530417	304484	1530417	81558	765209	81558	765209	304484	1530417	54372	510139	304484	1530417	304484	1530417	81558	765209	81558	765209	304484	1530417	54372	510139	304484	1530417	304484	1530417	81558	765209	81558	765209	304484	1530417	54372	510139	304484	1530417	304484	1530417	81558	765209	81558	765209	304484	1530417	54372	510139	304484	1530417	304484	1530417	81558	765209	81558	765209	304484	1530417	54372	510139	304484	1530417	304484	1530417	81558	765209	81558	765209	304484	1530417	54372	510139	304484	1530417	304484	1530417	81558	765209	81558	765209	304484	1530417	54372	510139	304484	1530417	304484	1530417	81558	765209	81558	765209	304484	1530417	326233	2040556	326233	2040556	326233	2040556	326233	2040556	326233	2040556	326233	2040556	326233	2040556	326233	2040556	326233	2040556	54372	510139	304484	1530417	304484	1530417	81558	765209	81558	765209	304484	1530417	326233	2040556	268956	2859966	268956	2859966	268956	2859966	268956	2859966	268956	2859966	268956	2859966	268956	2859966	268956	2859966	268956	2859966	268956	2859966
82	80	62270	659333	57066	561645	319571	1684935	319571	1684935	85600	842468	85600	842468	319571	1684935	57066	561645	319571	1684935	319571	1684935	85600	842468	85600	842468	319571	1684935	57066	561645	319571	1684935	319571	1684935	85600	842468	85600	842468	319571	1684935	57066	561645	319571	1684935	319571	1684935	85600	842468	85600	842468	319571	1684935	57066	561645	319571	1684935	319571	1684935	85600	842468	85600	842468	319571	1684935	57066	561645	319571	1684935	319571	1684935	85600	842468	85600	842468	319571	1684935	57066	561645	319571	1684935	319571	1684935	85600	842468	85600	842468	319571	1684935	57066	561645	319571	1684935	319571	1684935	85600	842468	85600	842468	319571	1684935	57066	561645	319571	1684935	319571	1684935	85600	842468	85600	842468	319571	1684935	342398	2246580	342398	2246580	342398	2246580	342398	2246580	342398	2246580	342398	2246580	342398	2246580	342398	2246580	342398	2246580	57066	561645	319571	1684935	319571	1684935	85600	842468	85600	842468	319571	1684935	342398	2246580	280215	2966998	280215	2966998	280215	2966998	280215	2966998	280215	2966998	280215	2966998	280215	2966998	280215	2966998	280215	2966998	280215	2966998
