INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
60901	6	9	1	920000	20800017	20800016	23	15	254	5	1128	15	190	5	1128	15	127
60902	6	9	2	920000	20800017	20800016	23	15	258	5	1146	15	193	5	1146	15	129
60903	6	9	3	920000	20800017	20800016	23	15	262	5	1164	15	196	5	1164	15	131
60904	6	9	4	920000	20800017	20800016	23	15	266	5	1182	15	199	5	1182	15	133
60905	6	9	5	1080000	20800017	20800016	27	15	270	5	1200	15	202	5	1200	15	135
60906	6	9	6	1080000	20800017	20800016	27	15	274	5	1218	15	205	5	1218	15	137
60907	6	9	7	1080000	20800017	20800016	27	15	278	5	1236	15	208	5	1236	15	139
60908	6	9	8	1080000	20800017	20800016	27	15	282	5	1254	15	211	5	1254	15	141
60909	6	9	9	1080000	20800017	20800016	27	15	286	5	1272	15	214	5	1272	15	143
60910	6	9	10	2000000	20800011	20800010	200	15	290	5	1290	15	217	5	1290	15	145
61000	6	10	0	1240000	20800017	20800016	31	15	290	5	1300	15	217	5	1300	15	145
61001	6	10	1	1240000	20800017	20800016	31	15	294	5	1320	15	220	5	1320	15	147
61002	6	10	2	1240000	20800017	20800016	31	15	298	5	1340	15	223	5	1340	15	149
61003	6	10	3	1240000	20800017	20800016	31	15	302	5	1360	15	226	5	1360	15	151
61004	6	10	4	1240000	20800017	20800016	31	15	306	5	1380	15	229	5	1380	15	153
61005	6	10	5	1400000	20800017	20800016	35	15	310	5	1400	15	232	5	1400	15	155
61006	6	10	6	1400000	20800017	20800016	35	15	314	5	1420	15	235	5	1420	15	157
61007	6	10	7	1400000	20800017	20800016	35	15	318	5	1440	15	238	5	1440	15	159
61008	6	10	8	1400000	20800017	20800016	35	15	322	5	1460	15	241	5	1460	15	161
61009	6	10	9	1400000	20800017	20800016	35	15	326	5	1480	15	244	5	1480	15	163
61010	6	10	10	-1	-1	-1	-1	15	330	5	1500	15	247	5	1500	15	165
