INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT
772	16	5	1631078	48932	16	1	1631078	48932	16	1	3027905	90837	16	1	902298	27068	16	1	355713	10671	16	1	1183091	35492	16	1	1183091	35492	16	1	607549	18226	16	1	1274834	38244	16	1	481624	14448	16	1	618155	18544	16	1
773	17	5	1808305	54249	17	1	1808305	54249	17	1	3356907	100707	17	1	1000339	30010	17	1	394364	11830	17	1	1311642	39349	17	1	1311642	39349	17	1	673563	20206	17	1	1413353	42400	17	1	533956	16018	17	1	685321	20559	17	1
774	18	5	1992308	59769	18	1	1992308	59769	18	1	3698487	110954	18	1	1102127	33063	18	1	434492	13034	18	1	1445107	43353	18	1	1445107	43353	18	1	742101	22263	18	1	1557167	46714	18	1	588288	17648	18	1	755056	22651	18	1
775	19	5	2182923	65487	19	1	2182923	65487	19	1	4052342	121570	19	1	1207574	36227	19	1	476063	14281	19	1	1583369	47501	19	1	1583369	47501	19	1	813102	24393	19	1	1706151	51184	19	1	644573	19337	19	1	827296	24818	19	1
776	20	5	2380002	71400	20	1	2380002	71400	20	1	4418197	132545	20	1	1316597	39497	20	1	519043	15571	20	1	1726319	51789	20	1	1726319	51789	20	1	886511	26595	20	1	1860186	55805	20	1	702767	21082	20	1	901987	27059	20	1
777	21	5	2583406	77502	21	1	2583406	77502	21	1	4795792	143873	21	1	1429118	42873	21	1	563402	16902	21	1	1873856	56215	21	1	1873856	56215	21	1	962276	28868	21	1	2019164	60574	21	1	762828	22884	21	1	979074	29372	21	1
778	22	5	2793007	83790	22	1	2793007	83790	22	1	5184890	155546	22	1	1545067	46351	22	1	609113	18273	22	1	2025889	60776	22	1	2025889	60776	22	1	1040348	31210	22	1	2182986	65489	22	1	824718	24741	22	1	1058509	31755	22	1
779	23	5	3008684	90260	23	1	3008684	90260	23	1	5585270	167557	23	1	1664378	49931	23	1	656149	19684	23	1	2182328	65469	23	1	2182328	65469	23	1	1120684	33620	23	1	2351557	70546	23	1	888404	26652	23	1	1140248	34207	23	1
780	24	5	3230325	96909	24	1	3230325	96909	24	1	5996721	179901	24	1	1786988	53609	24	1	704485	21134	24	1	2343095	70292	24	1	2343095	70292	24	1	1203242	36097	24	1	2524789	75743	24	1	953850	28615	24	1	1224247	36727	24	1
781	25	5	3457826	103734	25	1	3457826	103734	25	1	6419050	192571	25	1	1912840	57385	25	1	754100	22622	25	1	2508111	75243	25	1	2508111	75243	25	1	1287982	38639	25	1	2702602	81077	25	1	1021026	30630	25	1	1310466	39313	25	1
782	26	5	3691087	110732	26	1	3691087	110732	26	1	6852071	205561	26	1	2041878	61256	26	1	804971	24149	26	1	2677305	80319	26	1	2677305	80319	26	1	1374868	41246	26	1	2884916	86547	26	1	1089904	32697	26	1	1398869	41966	26	1
783	27	5	3930015	117900	27	1	3930015	117900	27	1	7295614	218868	27	1	2174051	65221	27	1	857077	25712	27	1	2850610	85518	27	1	2850610	85518	27	1	1463865	43915	27	1	3071660	92149	27	1	1160454	34813	27	1	1489419	44682	27	1
784	28	5	4174522	125235	28	1	4174522	125235	28	1	7749512	232485	28	1	2309310	69279	28	1	910401	27312	28	1	3027962	90838	28	1	3027962	90838	28	1	1554940	46648	28	1	3262764	97882	28	1	1232652	36979	28	1	1582084	47462	28	1
785	29	5	4424524	132735	29	1	4424524	132735	29	1	8213612	246408	29	1	2447609	73428	29	1	964922	28947	29	1	3209299	96278	29	1	3209299	96278	29	1	1648061	49441	29	1	3458163	103744	29	1	1306473	39194	29	1	1676831	50304	29	1
786	30	5	4679943	140398	30	1	4679943	140398	30	1	8687766	260633	30	1	2588904	77667	30	1	1020625	30618	30	1	3394565	101836	30	1	3394565	101836	30	1	1743200	52296	30	1	3657796	109733	30	1	1381893	41456	30	1	1773631	53208	30	1
787	31	5	4947368	148421	31.25	1	4947368	148421	31.25	1	9184210	275526	31.25	1	2736842	82105	31.25	1	1078947	32368	31.25	1	3588540	107656	31.25	1	3588540	107656	31.25	1	1842812	55284	31.25	1	3866812	116004	31.25	1	1460858	43825	31.25	1	1874981	56249	31.25	1
788	32	5	5214793	156443	32.5	1	5214793	156443	32.5	1	9680654	290419	32.5	1	2884779	86543	32.5	1	1137268	34118	32.5	1	3782515	113475	32.5	1	3782515	113475	32.5	1	1942423	58272	32.5	1	4075829	122274	32.5	1	1539823	46194	32.5	1	1976332	59289	32.5	1
789	33	5	5482219	164466	33.75	1	5482219	164466	33.75	1	10177098	305312	33.75	1	3032716	90981	33.75	1	1195590	35867	33.75	1	3976490	119294	33.75	1	3976490	119294	33.75	1	2042035	61261	33.75	1	4284846	128545	33.75	1	1618789	48563	33.75	1	2077682	62330	33.75	1
790	34	5	5749644	172489	35	1	5749644	172489	35	1	10673541	320206	35	1	3180654	95419	35	1	1253911	37617	35	1	4170466	125113	35	1	4170466	125113	35	1	2141646	64249	35	1	4493863	134815	35	1	1697754	50932	35	1	2179033	65370	35	1
791	35	5	6017069	180512	36.25	1	6017069	180512	36.25	1	11169985	335099	36.25	1	3328591	99857	36.25	1	1312233	39366	36.25	1	4364441	130933	36.25	1	4364441	130933	36.25	1	2241258	67237	36.25	1	4702880	141086	36.25	1	1776719	53301	36.25	1	2280383	68411	36.25	1
792	36	5	6284495	188534	37.5	1	6284495	188534	37.5	1	11666429	349992	37.5	1	3476529	104295	37.5	1	1370554	41116	37.5	1	4558416	136752	37.5	1	4558416	136752	37.5	1	2340869	70226	37.5	1	4911897	147356	37.5	1	1855685	55670	37.5	1	2381733	71452	37.5	1
793	37	5	6551920	196557	38.75	1	6551920	196557	38.75	1	12162873	364886	38.75	1	3624466	108733	38.75	1	1428876	42866	38.75	1	4752391	142571	38.75	1	4752391	142571	38.75	1	2440481	73214	38.75	1	5120914	153627	38.75	1	1934650	58039	38.75	1	2483084	74492	38.75	1
794	38	5	6819345	204580	40	1	6819345	204580	40	1	12659317	379779	40	1	3772403	113172	40	1	1487197	44615	40	1	4946366	148391	40	1	4946366	148391	40	1	2540092	76202	40	1	5329931	159897	40	1	2013615	60408	40	1	2584434	77533	40	1
795	39	5	7086770	212603	41.25	1	7086770	212603	41.25	1	13155761	394672	41.25	1	3920341	117610	41.25	1	1545519	46365	41.25	1	5140341	154210	41.25	1	5140341	154210	41.25	1	2639704	79191	41.25	1	5538948	166168	41.25	1	2092581	62777	41.25	1	2685784	80573	41.25	1
796	40	5	7354196	220625	42.5	1	7354196	220625	42.5	1	13652204	409566	42.5	1	4068278	122048	42.5	1	1603840	48115	42.5	1	5334317	160029	42.5	1	5334317	160029	42.5	1	2739315	82179	42.5	1	5747965	172438	42.5	1	2171546	65146	42.5	1	2787135	83614	42.5	1
797	41	5	7621621	228648	43.75	1	7621621	228648	43.75	1	14148648	424459	43.75	1	4216216	126486	43.75	1	1662162	49864	43.75	1	5528292	165848	43.75	1	5528292	165848	43.75	1	2838927	85167	43.75	1	5956982	178709	43.75	1	2250511	67515	43.75	1	2888485	86654	43.75	1
798	42	5	7889046	236671	45	1	7889046	236671	45	1	14645092	439352	45	1	4364153	130924	45	1	1720483	51614	45	1	5722267	171668	45	1	5722267	171668	45	1	2938538	88156	45	1	6165999	184979	45	1	2329477	69884	45	1	2989836	89695	45	1
799	43	5	8156472	244694	46.25	1	8156472	244694	46.25	1	15141536	454246	46.25	1	4512091	135362	46.25	1	1778805	53364	46.25	1	5916242	177487	46.25	1	5916242	177487	46.25	1	3038150	91144	46.25	1	6375015	191250	46.25	1	2408442	72253	46.25	1	3091186	92735	46.25	1
800	44	5	8423897	252716	47.5	1	8423897	252716	47.5	1	15637980	469139	47.5	1	4660028	139800	47.5	1	1837126	55113	47.5	1	6110217	183306	47.5	1	6110217	183306	47.5	1	3137761	94132	47.5	1	6584032	197520	47.5	1	2487407	74622	47.5	1	3192536	95776	47.5	1
801	45	5	8691322	260739	48.75	1	8691322	260739	48.75	1	16134423	484032	48.75	1	4807965	144238	48.75	1	1895448	56863	48.75	1	6304192	189125	48.75	1	6304192	189125	48.75	1	3237373	97121	48.75	1	6793049	203791	48.75	1	2566373	76991	48.75	1	3293887	98816	48.75	1
802	46	5	8958748	268762	50	1	8958748	268762	50	1	16630867	498926	50	1	4955903	148677	50	1	1953769	58613	50	1	6498168	194945	50	1	6498168	194945	50	1	3336984	100109	50	1	7002066	210062	50	1	2645338	79360	50	1	3395237	101857	50	1
803	47	5	9226173	276785	51.25	1	9226173	276785	51.25	1	17127311	513819	51.25	1	5103840	153115	51.25	1	2012091	60362	51.25	1	6692143	200764	51.25	1	6692143	200764	51.25	1	3436595	103097	51.25	1	7211083	216332	51.25	1	2724303	81729	51.25	1	3496587	104897	51.25	1
804	48	5	9493598	284807	52.5	1	9493598	284807	52.5	1	17623755	528712	52.5	1	5251778	157553	52.5	1	2070412	62112	52.5	1	6886118	206583	52.5	1	6886118	206583	52.5	1	3536207	106086	52.5	1	7420100	222603	52.5	1	2803269	84098	52.5	1	3597938	107938	52.5	1
805	49	5	9761024	292830	53.75	1	9761024	292830	53.75	1	18120199	543605	53.75	1	5399715	161991	53.75	1	2128733	63862	53.75	1	7080093	212402	53.75	1	7080093	212402	53.75	1	3635818	109074	53.75	1	7629117	228873	53.75	1	2882234	86467	53.75	1	3699288	110978	53.75	1
806	50	5	10028449	300853	55	1	10028449	300853	55	1	18616642	558499	55	1	5547652	166429	55	1	2187055	65611	55	1	7274068	218222	55	1	7274068	218222	55	1	3735430	112062	55	1	7838134	235144	55	1	2961199	88835	55	1	3800639	114019	55	1
807	51	5	10295874	308876	56.25	1	10295874	308876	56.25	1	19113086	573392	56.25	1	5695590	170867	56.25	1	2245376	67361	56.25	1	7468043	224041	56.25	1	7468043	224041	56.25	1	3835041	115051	56.25	1	8047151	241414	56.25	1	3040165	91204	56.25	1	3901989	117059	56.25	1
808	52	5	10563300	316899	57.5	1	10563300	316899	57.5	1	19609530	588285	57.5	1	5843527	175305	57.5	1	2303698	69110	57.5	1	7662019	229860	57.5	1	7662019	229860	57.5	1	3934653	118039	57.5	1	8256168	247685	57.5	1	3119130	93573	57.5	1	4003339	120100	57.5	1
809	53	5	10830725	324921	58.75	1	10830725	324921	58.75	1	20105974	603179	58.75	1	5991465	179743	58.75	1	2362019	70860	58.75	1	7855994	235679	58.75	1	7855994	235679	58.75	1	4034264	121027	58.75	1	8465185	253955	58.75	1	3198095	95942	58.75	1	4104690	123140	58.75	1
810	54	5	11098150	332944	60	1	11098150	332944	60	1	20602418	618072	60	1	6139402	184182	60	1	2420341	72610	60	1	8049969	241499	60	1	8049969	241499	60	1	4133876	124016	60	1	8674202	260226	60	1	3277061	98311	60	1	4206040	126181	60	1
811	55	5	11365576	340967	61.25	1	11365576	340967	61.25	1	21098862	632965	61.25	1	6287339	188620	61.25	1	2478662	74359	61.25	1	8243944	247318	61.25	1	8243944	247318	61.25	1	4233487	127004	61.25	1	8883219	266496	61.25	1	3356026	100680	61.25	1	4307390	129221	61.25	1
812	56	5	11633001	348990	62.5	1	11633001	348990	62.5	1	21595305	647859	62.5	1	6435277	193058	62.5	1	2536984	76109	62.5	1	8437919	253137	62.5	1	8437919	253137	62.5	1	4333099	129992	62.5	1	9092235	272767	62.5	1	3434991	103049	62.5	1	4408741	132262	62.5	1
813	57	5	11900426	357012	63.75	1	11900426	357012	63.75	1	22091749	662752	63.75	1	6583214	197496	63.75	1	2595305	77859	63.75	1	8631894	258956	63.75	1	8631894	258956	63.75	1	4432710	132981	63.75	1	9301252	279037	63.75	1	3513957	105418	63.75	1	4510091	135302	63.75	1
814	58	5	12167852	365035	65	1	12167852	365035	65	1	22588193	677645	65	1	6731152	201934	65	1	2653627	79608	65	1	8825870	264776	65	1	8825870	264776	65	1	4532322	135969	65	1	9510269	285308	65	1	3592922	107787	65	1	4611442	138343	65	1
815	59	5	12435277	373058	66.25	1	12435277	373058	66.25	1	23084637	692539	66.25	1	6879089	206372	66.25	1	2711948	81358	66.25	1	9019845	270595	66.25	1	9019845	270595	66.25	1	4631933	138958	66.25	1	9719286	291578	66.25	1	3671887	110156	66.25	1	4712792	141383	66.25	1
816	60	5	12702702	381081	67.5	1	12702702	381081	67.5	1	23581081	707432	67.5	1	7027027	210810	67.5	1	2770270	83108	67.5	1	9213820	276414	67.5	1	9213820	276414	67.5	1	4731545	141946	67.5	1	9928303	297849	67.5	1	3750853	112525	67.5	1	4814142	144424	67.5	1
817	61	5	13103840	262076	69	1	13103840	262076	69	1	24325746	486514	69	1	7248933	144978	69	1	2857752	57155	69	1	9504783	190095	69	1	9504783	190095	69	1	4880962	97619	69	1	10241828	204836	69	1	3869301	77386	69	1	4966168	99323	69	1
818	62	5	13504978	270099	70.5	1	13504978	270099	70.5	1	25070412	501408	70.5	1	7470839	149416	70.5	1	2945234	58904	70.5	1	9795746	195914	70.5	1	9795746	195914	70.5	1	5030379	100607	70.5	1	10555354	211107	70.5	1	3987749	79754	70.5	1	5118193	102363	70.5	1
819	63	5	13906116	278122	72	1	13906116	278122	72	1	25815078	516301	72	1	7692745	153854	72	1	3032716	60654	72	1	10086708	201734	72	1	10086708	201734	72	1	5179796	103595	72	1	10868879	217377	72	1	4106197	82123	72	1	5270219	105404	72	1
820	64	5	14307254	286145	73.5	1	14307254	286145	73.5	1	26559743	531194	73.5	1	7914651	158293	73.5	1	3120199	62403	73.5	1	10377671	207553	73.5	1	10377671	207553	73.5	1	5329214	106584	73.5	1	11182405	223648	73.5	1	4224645	84492	73.5	1	5422245	108444	73.5	1
821	65	5	14708392	294167	75	1	14708392	294167	75	1	27304409	546088	75	1	8136557	162731	75	1	3207681	64153	75	1	10668634	213372	75	1	10668634	213372	75	1	5478631	109572	75	1	11495930	229918	75	1	4343093	86861	75	1	5574270	111485	75	1
822	66	5	15109530	302190	76.5	1	15109530	302190	76.5	1	28049075	560981	76.5	1	8358463	167169	76.5	1	3295163	65903	76.5	1	10959597	219191	76.5	1	10959597	219191	76.5	1	5628048	112560	76.5	1	11809455	236189	76.5	1	4461541	89230	76.5	1	5726296	114525	76.5	1
823	67	5	15510668	310213	78	1	15510668	310213	78	1	28793741	575874	78	1	8580369	171607	78	1	3382645	67652	78	1	11250559	225011	78	1	11250559	225011	78	1	5777465	115549	78	1	12122981	242459	78	1	4579989	91599	78	1	5878321	117566	78	1
824	68	5	15911806	318236	79.5	1	15911806	318236	79.5	1	29538406	590768	79.5	1	8802275	176045	79.5	1	3470128	69402	79.5	1	11541522	230830	79.5	1	11541522	230830	79.5	1	5926882	118537	79.5	1	12436506	248730	79.5	1	4698437	93968	79.5	1	6030347	120606	79.5	1
825	69	5	16312944	326258	81	1	16312944	326258	81	1	30283072	605661	81	1	9024182	180483	81	1	3557610	71152	81	1	11832485	236649	81	1	11832485	236649	81	1	6076300	121526	81	1	12750031	255000	81	1	4816885	96337	81	1	6182372	123647	81	1
826	70	5	16714082	334281	82.5	1	16714082	334281	82.5	1	31027738	620554	82.5	1	9246088	184921	82.5	1	3645092	72901	82.5	1	12123448	242468	82.5	1	12123448	242468	82.5	1	6225717	124514	82.5	1	13063557	261271	82.5	1	4935333	98706	82.5	1	6334398	126687	82.5	1
827	71	5	17115220	342304	84	1	17115220	342304	84	1	31772403	635448	84	1	9467994	189359	84	1	3732574	74651	84	1	12414410	248288	84	1	12414410	248288	84	1	6375134	127502	84	1	13377082	267541	84	1	5053781	101075	84	1	6486424	129728	84	1
828	72	5	17516358	350327	85.5	1	17516358	350327	85.5	1	32517069	650341	85.5	1	9689900	193798	85.5	1	3820056	76401	85.5	1	12705373	254107	85.5	1	12705373	254107	85.5	1	6524551	130491	85.5	1	13690608	273812	85.5	1	5172229	103444	85.5	1	6638449	132768	85.5	1
829	73	5	17917496	358349	87	1	17917496	358349	87	1	33261735	665234	87	1	9911806	198236	87	1	3907539	78150	87	1	12996336	259926	87	1	12996336	259926	87	1	6673968	133479	87	1	14004133	280082	87	1	5290677	105813	87	1	6790475	135809	87	1
830	74	5	18318634	366372	88.5	1	18318634	366372	88.5	1	34006401	680128	88.5	1	10133712	202674	88.5	1	3995021	79900	88.5	1	13287299	265745	88.5	1	13287299	265745	88.5	1	6823386	136467	88.5	1	14317658	286353	88.5	1	5409125	108182	88.5	1	6942500	138850	88.5	1
831	75	5	18719772	374395	90	1	18719772	374395	90	1	34751066	695021	90	1	10355618	207112	90	1	4082503	81650	90	1	13578261	271565	90	1	13578261	271565	90	1	6972803	139456	90	1	14631184	292623	90	1	5527573	110551	90	1	7094526	141890	90	1
832	76	5	19120910	382418	91.5	1	19120910	382418	91.5	1	35495732	709914	91.5	1	10577524	211550	91.5	1	4169985	83399	91.5	1	13869224	277384	91.5	1	13869224	277384	91.5	1	7122220	142444	91.5	1	14944709	298894	91.5	1	5646021	112920	91.5	1	7246551	144931	91.5	1
833	77	5	19522048	390440	93	1	19522048	390440	93	1	36240398	724807	93	1	10799431	215988	93	1	4257467	85149	93	1	14160187	283203	93	1	14160187	283203	93	1	7271637	145432	93	1	15258234	305164	93	1	5764469	115289	93	1	7398577	147971	93	1
834	78	5	19923186	398463	94.5	1	19923186	398463	94.5	1	36985064	739701	94.5	1	11021337	220426	94.5	1	4344950	86899	94.5	1	14451150	289023	94.5	1	14451150	289023	94.5	1	7421055	148421	94.5	1	15571760	311435	94.5	1	5882917	117658	94.5	1	7550602	151012	94.5	1
835	79	5	20324324	406486	96	1	20324324	406486	96	1	37729729	754594	96	1	11243243	224864	96	1	4432432	88648	96	1	14742112	294842	96	1	14742112	294842	96	1	7570472	151409	96	1	15885285	317705	96	1	6001365	120027	96	1	7702628	154052	96	1
836	80	5	20725462	414509	97.5	1	20725462	414509	97.5	1	38474395	769487	97.5	1	11465149	229302	97.5	1	4519914	90398	97.5	1	15033075	300661	97.5	1	15033075	300661	97.5	1	7719889	154397	97.5	1	16198811	323976	97.5	1	6119813	122396	97.5	1	7854654	157093	97.5	1
837	81	5	21126600	422532	99	1	21126600	422532	99	1	39219061	784381	99	1	11687055	233741	99	1	4607396	92147	99	1	15324038	306480	99	1	15324038	306480	99	1	7869306	157386	99	1	16512336	330246	99	1	6238261	124765	99	1	8006679	160133	99	1
838	82	5	21527738	430554	100.5	1	21527738	430554	100.5	1	39963726	799274	100.5	1	11908961	238179	100.5	1	4694879	93897	100.5	1	15615001	312300	100.5	1	15615001	312300	100.5	1	8018723	160374	100.5	1	16825861	336517	100.5	1	6356709	127134	100.5	1	8158705	163174	100.5	1
839	83	5	21928876	438577	102	1	21928876	438577	102	1	40708392	814167	102	1	12130867	242617	102	1	4782361	95647	102	1	15905963	318119	102	1	15905963	318119	102	1	8168141	163362	102	1	17139387	342787	102	1	6475157	129503	102	1	8310730	166214	102	1
840	84	5	22330014	446600	103.5	1	22330014	446600	103.5	1	41453058	829061	103.5	1	12352773	247055	103.5	1	4869843	97396	103.5	1	16196926	323938	103.5	1	16196926	323938	103.5	1	8317558	166351	103.5	1	17452912	349058	103.5	1	6593605	131872	103.5	1	8462756	169255	103.5	1
841	85	5	22731152	454623	105	1	22731152	454623	105	1	42197724	843954	105	1	12574679	251493	105	1	4957325	99146	105	1	16487889	329757	105	1	16487889	329757	105	1	8466975	169339	105	1	17766438	355328	105	1	6712053	134241	105	1	8614781	172295	105	1
842	86	5	23132290	462645	106.5	1	23132290	462645	106.5	1	42942389	858847	106.5	1	12796586	255931	106.5	1	5044807	100896	106.5	1	16778852	335577	106.5	1	16778852	335577	106.5	1	8616392	172327	106.5	1	18079963	361599	106.5	1	6830501	136610	106.5	1	8766807	175336	106.5	1
843	87	5	23533428	470668	108	1	23533428	470668	108	1	43687055	873741	108	1	13018492	260369	108	1	5132290	102645	108	1	17069814	341396	108	1	17069814	341396	108	1	8765810	175316	108	1	18393488	367869	108	1	6948949	138978	108	1	8918833	178376	108	1
844	88	5	23934566	478691	109.5	1	23934566	478691	109.5	1	44431721	888634	109.5	1	13240398	264807	109.5	1	5219772	104395	109.5	1	17360777	347215	109.5	1	17360777	347215	109.5	1	8915227	178304	109.5	1	18707014	374140	109.5	1	7067397	141347	109.5	1	9070858	181417	109.5	1
845	89	5	24335704	486714	111	1	24335704	486714	111	1	45176386	903527	111	1	13462304	269246	111	1	5307254	106145	111	1	17651740	353034	111	1	17651740	353034	111	1	9064644	181292	111	1	19020539	380410	111	1	7185845	143716	111	1	9222884	184457	111	1
846	90	5	24736842	494736	112.5	1	24736842	494736	112.5	1	45921052	918421	112.5	1	13684210	273684	112.5	1	5394736	107894	112.5	1	17942703	358854	112.5	1	17942703	358854	112.5	1	9214061	184281	112.5	1	19334064	386681	112.5	1	7304293	146085	112.5	1	9374909	187498	112.5	1
847	91	5	25137980	502759	114	1	25137980	502759	114	1	46665718	933314	114	1	13906116	278122	114	1	5482219	109644	114	1	18233665	364673	114	1	18233665	364673	114	1	9363478	187269	114	1	19647590	392951	114	1	7422741	148454	114	1	9526935	190538	114	1
848	92	5	25539118	510782	115.5	1	25539118	510782	115.5	1	47410384	948207	115.5	1	14128022	282560	115.5	1	5569701	111394	115.5	1	18524628	370492	115.5	1	18524628	370492	115.5	1	9512896	190257	115.5	1	19961115	399222	115.5	1	7541189	150823	115.5	1	9678960	193579	115.5	1
849	93	5	25940256	518805	117	1	25940256	518805	117	1	48155049	963100	117	1	14349928	286998	117	1	5657183	113143	117	1	18815591	376311	117	1	18815591	376311	117	1	9662313	193246	117	1	20274641	405492	117	1	7659637	153192	117	1	9830986	196619	117	1
850	94	5	26341394	526827	118.5	1	26341394	526827	118.5	1	48899715	977994	118.5	1	14571834	291436	118.5	1	5744665	114893	118.5	1	19106554	382131	118.5	1	19106554	382131	118.5	1	9811730	196234	118.5	1	20588166	411763	118.5	1	7778085	155561	118.5	1	9983011	199660	118.5	1
851	95	5	26742532	534850	120	1	26742532	534850	120	1	49644381	992887	120	1	14793741	295874	120	1	5832147	116642	120	1	19397516	387950	120	1	19397516	387950	120	1	9961147	199222	120	1	20901691	418033	120	1	7896533	157930	120	1	10135037	202700	120	1
852	96	5	27143669	542873	121.5	1	27143669	542873	121.5	1	50389046	1007780	121.5	1	15015647	300312	121.5	1	5919630	118392	121.5	1	19688479	393769	121.5	1	19688479	393769	121.5	1	10110564	202211	121.5	1	21215217	424304	121.5	1	8014981	160299	121.5	1	10287063	205741	121.5	1
853	97	5	27544807	550896	123	1	27544807	550896	123	1	51133712	1022674	123	1	15237553	304751	123	1	6007112	120142	123	1	19979442	399588	123	1	19979442	399588	123	1	10259982	205199	123	1	21528742	430574	123	1	8133429	162668	123	1	10439088	208781	123	1
854	98	5	27945945	558918	124.5	1	27945945	558918	124.5	1	51878378	1037567	124.5	1	15459459	309189	124.5	1	6094594	121891	124.5	1	20270405	405408	124.5	1	20270405	405408	124.5	1	10409399	208187	124.5	1	21842267	436845	124.5	1	8251877	165037	124.5	1	10591114	211822	124.5	1
855	99	5	28347083	566941	126	1	28347083	566941	126	1	52623044	1052460	126	1	15681365	313627	126	1	6182076	123641	126	1	20561367	411227	126	1	20561367	411227	126	1	10558816	211176	126	1	22155793	443115	126	1	8370325	167406	126	1	10743139	214862	126	1
856	100	5	28748221	574964	127.5	1	28748221	574964	127.5	1	53367709	1067354	127.5	1	15903271	318065	127.5	1	6269559	125391	127.5	1	20852330	417046	127.5	1	20852330	417046	127.5	1	10708233	214164	127.5	1	22469318	449386	127.5	1	8488773	169775	127.5	1	10895165	217903	127.5	1
857	101	5	29149359	582987	129	1	29149359	582987	129	1	54112375	1082247	129	1	16125177	322503	129	1	6357041	127140	129	1	21143293	422865	129	1	21143293	422865	129	1	10857651	217153	129	1	22782844	455656	129	1	8607221	172144	129	1	11047190	220943	129	1
858	102	5	29550497	591009	130.5	1	29550497	591009	130.5	1	54857041	1097140	130.5	1	16347083	326941	130.5	1	6444523	128890	130.5	1	21434256	428685	130.5	1	21434256	428685	130.5	1	11007068	220141	130.5	1	23096369	461927	130.5	1	8725669	174513	130.5	1	11199216	223984	130.5	1
859	103	5	29951635	599032	132	1	29951635	599032	132	1	55601706	1112034	132	1	16568990	331379	132	1	6532005	130640	132	1	21725218	434504	132	1	21725218	434504	132	1	11156485	223129	132	1	23409894	468197	132	1	8844117	176882	132	1	11351242	227024	132	1
860	104	5	30352773	607055	133.5	1	30352773	607055	133.5	1	56346372	1126927	133.5	1	16790896	335817	133.5	1	6619487	132389	133.5	1	22016181	440323	133.5	1	22016181	440323	133.5	1	11305902	226118	133.5	1	23723420	474468	133.5	1	8962565	179251	133.5	1	11503267	230065	133.5	1
861	105	5	30887624	617752	135	1	30887624	617752	135	1	57339260	1146785	135	1	17086770	341735	135	1	6736130	134722	135	1	22404131	448082	135	1	22404131	448082	135	1	11505125	230102	135	1	24141453	482829	135	1	9120495	182409	135	1	11705968	234119	135	1
862	106	5	31422475	628449	136.5	1	31422475	628449	136.5	1	58332147	1166642	136.5	1	17382645	347652	136.5	1	6852773	137055	136.5	1	22792082	455841	136.5	1	22792082	455841	136.5	1	11704348	234086	136.5	1	24559487	491189	136.5	1	9278426	185568	136.5	1	11908669	238173	136.5	1
863	107	5	31957325	639146	138	1	31957325	639146	138	1	59325035	1186500	138	1	17678520	353570	138	1	6969416	139388	138	1	23180032	463600	138	1	23180032	463600	138	1	11903571	238071	138	1	24977521	499550	138	1	9436357	188727	138	1	12111369	242227	138	1
864	108	5	32492176	649843	139.5	1	32492176	649843	139.5	1	60317923	1206358	139.5	1	17974395	359487	139.5	1	7086059	141721	139.5	1	23567982	471359	139.5	1	23567982	471359	139.5	1	12102794	242055	139.5	1	25395555	507911	139.5	1	9594287	191885	139.5	1	12314070	246281	139.5	1
865	109	5	33027027	660540	141	1	33027027	660540	141	1	61310810	1226216	141	1	18270270	365405	141	1	7202702	144054	141	1	23955933	479118	141	1	23955933	479118	141	1	12302017	246040	141	1	25813589	516271	141	1	9752218	195044	141	1	12516771	250335	141	1
866	110	5	33561877	671237	142.5	1	33561877	671237	142.5	1	62303698	1246073	142.5	1	18566145	371322	142.5	1	7319345	146386	142.5	1	24343883	486877	142.5	1	24343883	486877	142.5	1	12501240	250024	142.5	1	26231623	524632	142.5	1	9910149	198202	142.5	1	12719472	254389	142.5	1
867	111	5	34096728	681934	144	1	34096728	681934	144	1	63296586	1265931	144	1	18862019	377240	144	1	7435988	148719	144	1	24731833	494636	144	1	24731833	494636	144	1	12700463	254009	144	1	26649657	532993	144	1	10068079	201361	144	1	12922172	258443	144	1
868	112	5	34631578	692631	145.5	1	34631578	692631	145.5	1	64289473	1285789	145.5	1	19157894	383157	145.5	1	7552631	151052	145.5	1	25119784	502395	145.5	1	25119784	502395	145.5	1	12899686	257993	145.5	1	27067690	541353	145.5	1	10226010	204520	145.5	1	13124873	262497	145.5	1
869	113	5	35166429	703328	147	1	35166429	703328	147	1	65282361	1305647	147	1	19453769	389075	147	1	7669274	153385	147	1	25507734	510154	147	1	25507734	510154	147	1	13098909	261978	147	1	27485724	549714	147	1	10383941	207678	147	1	13327574	266551	147	1
870	114	5	35701280	714025	148.5	1	35701280	714025	148.5	1	66275248	1325504	148.5	1	19749644	394992	148.5	1	7785917	155718	148.5	1	25895684	517913	148.5	1	25895684	517913	148.5	1	13298132	265962	148.5	1	27903758	558075	148.5	1	10541871	210837	148.5	1	13530275	270605	148.5	1
871	115	5	36236130	724722	150	1	36236130	724722	150	1	67268136	1345362	150	1	20045519	400910	150	1	7902560	158051	150	1	26283635	525672	150	1	26283635	525672	150	1	13497355	269947	150	1	28321792	566435	150	1	10699802	213996	150	1	13732975	274659	150	1
