INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT
ID	分类 ID（互斥用）	PRI优先级	图标文件名	触发特效ID	触发特效的音效ID	触发特效的绑定点	持续性特效ID	持续特效的音效ID	持续性特效的绑定点	死后是否保留	是否可以被技能驱散	是否是负面效果	是否可以被手动取消	是否为线性特效	线性特效的绑定点	效果说明$1$	特殊坐骑效果	置顶显示	预留	预留
4319	99	2200	RideHeader5_13							0	0	0	1	0		坐骑：凌霄。您已激活的坐骑中最高移动速度+70%。	99	0	1	1	
4320	99	2200	CircularTaskTool90_3							0	0	0	1	0		坐骑：垂云翼。您已激活的坐骑中最高移动速度+70%。	99	0	1	1	
4321	99	2200	RideHeader4_15							0	0	0	1	0		坐骑：红熊王。您已激活的坐骑中最高移动速度+70%。	99	0	1	1	
4322	99	2200	RideHeader1_9							0	0	0	1	0		坐骑：陆行雕。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4323	99	2200	RideHeader1_13							0	0	0	1	0		坐骑：虎。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4324	99	2200	RideHeader1_1							0	0	0	1	0		坐骑：黄骠马。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4325	99	2200	RideHeader1_11							0	0	0	1	0		坐骑：骆驼。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4326	99	2200	RideHeader2_2							0	0	0	1	0		坐骑：鹤。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4327	99	2200	RideHeader1_16							0	0	0	1	0		坐骑：青凤。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4328	99	2200	RideHeader1_3							0	0	0	1	0		坐骑：牦牛。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4329	99	2200	RideHeader1_5							0	0	0	1	0		坐骑：鹿。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4330	99	2200	RideHeader1_9							0	0	0	1	0		坐骑：雕。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4331	99	2200	RideHeader1_7							0	0	0	1	0		坐骑：灰狼。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4332	99	2200	RideHeader1_14							0	0	0	1	0		坐骑：白虎。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4333	99	2200	RideHeader1_2							0	0	0	1	0		坐骑：青白骢马。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4334	99	2200	RideHeader1_12							0	0	0	1	0		坐骑：白骆驼。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4335	99	2200	RideHeader2_1							0	0	0	1	0		坐骑：金翼鹤。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4336	99	2200	RideHeader1_15							0	0	0	1	0		坐骑：红白凤。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4337	99	2200	RideHeader1_4							0	0	0	1	0		坐骑：白牦牛。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4338	99	2200	RideHeader1_6							0	0	0	1	0		坐骑：白鹿。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4339	99	2200	RideHeader1_10							0	0	0	1	0		坐骑：白雕。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4340	99	2200	RideHeader1_8							0	0	0	1	0		坐骑：白狼。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4341	99	2200	RideHeader2_3							0	0	0	1	0		坐骑：狮子。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4342	99	2200	RideHeader2_4							0	0	0	1	0		坐骑：白狮。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4343	99	2200	RideHeader2_6							0	0	0	1	0		坐骑：象。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4344	99	2200	RideHeader2_15							0	0	0	1	0		坐骑：犀牛。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4345	99	2200	RideHeader2_12							0	0	0	1	0		坐骑：玄龟。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4346	99	2200	RideHeader2_10							0	0	0	1	0		坐骑：陆吾。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4347	99	2200	RideHeader2_13							0	0	0	1	0		坐骑：木牛流马。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4348	99	2200	RideHeader2_9							0	0	0	1	0		坐骑：熊。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4349	99	2200	RideHeader2_14							0	0	0	1	0		坐骑：符文骑士。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4350	99	2200	RideHeader2_11							0	0	0	1	0		坐骑：鸵鸟。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4351	99	2200	Ride2_15							0	0	0	1	0		坐骑：河马。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4352	99	2200	Ride2_11							0	0	0	1	0		坐骑：马车。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4353	99	2200	Ride2_13							0	0	0	1	0		坐骑：天马。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4354	99	2200	Ride2_9							0	0	0	1	0		坐骑：兔子。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4355	99	2200	Ride2_14							0	0	0	1	0		坐骑：舞狮。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4356	99	2200	Ride2_10							0	0	0	1	0		坐骑：驯鹿。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4357	99	2200	RideHeader2_6							0	0	0	1	0		坐骑：象。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4358	99	2200	RideHeader1_3							0	0	0	1	0		坐骑：牦牛。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4359	99	2200	RideHeader2_12							0	0	0	1	0		坐骑：玄龟。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4360	99	2200	RideHeader2_10							0	0	0	1	0		坐骑：陆吾。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4361	99	2200	RideHeader2_13							0	0	0	1	0		坐骑：木牛流马。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4362	99	2200	RideHeader2_14							0	0	0	1	0		坐骑：符文骑士。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4363	99	2200	RideHeader2_11							0	0	0	1	0		坐骑：鸵鸟。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4364	99	2200	Ride2_12							0	0	0	1	0		坐骑：雪羽。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4365	99	2200	RideHeader2_7							0	0	0	1	0		坐骑：飞龙。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4366	99	2200	RideHeader2_16							0	0	0	1	0		坐骑：巨人。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4367	99	2200	Ride2_3							0	0	0	1	0		坐骑：雪橇。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4368	99	2200	Ride2_4							0	0	0	1	0		坐骑：紫电。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4369	99	2200	Ride2_16							0	0	0	1	0		坐骑：冥羽。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4370	99	2200	RideHeader2_8							0	0	0	1	0		坐骑：如意熊。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4371	99	2200	Ride2_5							0	0	0	1	0		坐骑：碧水金睛兽。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4372	99	2200	Ride2_6							0	0	0	1	0		坐骑：年兽。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4373	99	2200	Ride2_7							0	0	0	1	0		坐骑：花车。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4374	99	2200	Ride2_8							0	0	0	1	0		坐骑：旋转木马。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4375	99	2200	RideHeader3_1							0	0	0	1	0		坐骑：白云。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4376	99	2200	RideHeader3_2							0	0	0	1	0		坐骑：黑土。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4377	99	2200	RideHeader3_3							0	0	0	1	0		坐骑：巨猿。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4378	99	2200	RideHeader3_5							0	0	0	1	0		坐骑：琉璃凤。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4379	99	2200	RideHeader3_8							0	0	0	1	0		坐骑：银月狼。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4380	99	2200	RideHeader3_12							0	0	0	1	0		坐骑：烈焰狮。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4381	99	2200	RideHeader3_7							0	0	0	1	0		坐骑：如意虎。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4382	99	2200	RideHeader3_10							0	0	0	1	0		坐骑：龙血马。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4383	99	2200	RideHeader3_4							0	0	0	1	0		坐骑：鹜影雕。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4384	99	2200	RideHeader3_6							0	0	0	1	0		坐骑：瑞莲鹤。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4385	99	2200	RideHeader3_9							0	0	0	1	0		坐骑：七彩鹿。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4386	99	2200	RideHeader3_11							0	0	0	1	0		坐骑：青牦牛。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4387	99	2200	RideHeader3_13							0	0	0	1	0		翅膀：幻羽。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4388	99	2200	RideHeader3_14							0	0	0	1	0		坐骑：闪电貂。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4389	99	2200	RideHeader3_15							0	0	0	1	0		坐骑：蝶羽。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4390	99	2200	RideHeader2_10							0	0	0	1	0		坐骑：陆吾。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4391	99	2200	RideHeader3_16							0	0	0	1	0		坐骑：巴天虎。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4392	99	2200	RideHeader4_4							0	0	0	1	0		坐骑：飞龙椅。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4393	99	2200	RideHeader4_1							0	0	0	1	0		坐骑：羚羊。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4394	99	2200	RideHeader4_2							0	0	0	1	0		坐骑：雪羚羊。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4395	99	2200	RideHeader4_3							0	0	0	1	0		坐骑：幽光羚。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4396	99	2200	RideHeader4_5							0	0	0	1	0		坐骑：火焰貂。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4397	99	2200	RideHeader4_6							0	0	0	1	0		坐骑：熊猫。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4398	99	2200	RideHeader4_7							0	0	0	1	0		坐骑：雷刃兽。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4399	99	2200	RideHeader4_8							0	0	0	1	0		坐骑：赤魅鹰。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4400	99	2200	RideHeader4_9							0	0	0	1	0		坐骑：暗魅鹰。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4401	99	2200	RideHeader4_10							0	0	0	1	0		坐骑：紫魅鹰。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4402	99	2200	RideHeader5_1							0	0	0	1	0		坐骑：江南锁甲马。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4403	99	2200	RideHeader5_2							0	0	0	1	0		坐骑：大漠金戈马。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4404	99	2200	RideHeader5_12							0	0	0	1	0		坐骑：赤麟白泽。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4405	99	2200	RideHeader5_13							0	0	0	1	0		坐骑：青麟白泽。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4406	99	2200	RideHeader6_14							0	0	0	1	0		坐骑：天河灵鹊。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4407	99	2200	RideHeader6_16							0	0	0	1	0		坐骑：黑天马。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4408	99	2200	RideHeader8_8							0	0	0	1	0		坐骑：云霄羽翼。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4409	99	2200	RideHeader9_5							0	0	0	1	0		坐骑：梦灵仙驹。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4410	99	2200	RideHeader4_11							0	0	0	1	0		坐骑：绝地。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4411	99	2200	RideHeader9_11							0	0	0	1	0		坐骑：憨宝熊。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4412	99	2200	RideHeader4_12							0	0	0	1	0		坐骑：蹑景。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4413	99	2200	RideHeader4_12							0	0	0	1	0		坐骑：蹑景·典藏。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4414	99	2200	RideHeader4_13							0	0	0	1	0		坐骑：六合舆。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4415	99	2200	RideHeader4_14							0	0	0	1	0		坐骑：渡情。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4416	99	2200	RideHeader5_13							0	0	0	1	0		坐骑：凌霄。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4417	99	2200	CircularTaskTool90_3							0	0	0	1	0		坐骑：垂云翼。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4418	99	2200	RideHeader4_15							0	0	0	1	0		坐骑：红熊王。您已激活的坐骑中最高移动速度+75%。	99	0	1	1	
4419	99	2200	RideHeader1_9							0	0	0	1	0		坐骑：陆行雕。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4420	99	2200	RideHeader1_13							0	0	0	1	0		坐骑：虎。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4421	99	2200	RideHeader1_1							0	0	0	1	0		坐骑：黄骠马。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4422	99	2200	RideHeader1_11							0	0	0	1	0		坐骑：骆驼。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4423	99	2200	RideHeader2_2							0	0	0	1	0		坐骑：鹤。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4424	99	2200	RideHeader1_16							0	0	0	1	0		坐骑：青凤。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4425	99	2200	RideHeader1_3							0	0	0	1	0		坐骑：牦牛。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4426	99	2200	RideHeader1_5							0	0	0	1	0		坐骑：鹿。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4427	99	2200	RideHeader1_9							0	0	0	1	0		坐骑：雕。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4428	99	2200	RideHeader1_7							0	0	0	1	0		坐骑：灰狼。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4429	99	2200	RideHeader1_14							0	0	0	1	0		坐骑：白虎。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4430	99	2200	RideHeader1_2							0	0	0	1	0		坐骑：青白骢马。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4431	99	2200	RideHeader1_12							0	0	0	1	0		坐骑：白骆驼。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4432	99	2200	RideHeader2_1							0	0	0	1	0		坐骑：金翼鹤。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4433	99	2200	RideHeader1_15							0	0	0	1	0		坐骑：红白凤。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4434	99	2200	RideHeader1_4							0	0	0	1	0		坐骑：白牦牛。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4435	99	2200	RideHeader1_6							0	0	0	1	0		坐骑：白鹿。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4436	99	2200	RideHeader1_10							0	0	0	1	0		坐骑：白雕。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4437	99	2200	RideHeader1_8							0	0	0	1	0		坐骑：白狼。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4438	99	2200	RideHeader2_3							0	0	0	1	0		坐骑：狮子。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4439	99	2200	RideHeader2_4							0	0	0	1	0		坐骑：白狮。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4440	99	2200	RideHeader2_6							0	0	0	1	0		坐骑：象。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4441	99	2200	RideHeader2_15							0	0	0	1	0		坐骑：犀牛。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4442	99	2200	RideHeader2_12							0	0	0	1	0		坐骑：玄龟。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4443	99	2200	RideHeader2_10							0	0	0	1	0		坐骑：陆吾。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4444	99	2200	RideHeader2_13							0	0	0	1	0		坐骑：木牛流马。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4445	99	2200	RideHeader2_9							0	0	0	1	0		坐骑：熊。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4446	99	2200	RideHeader2_14							0	0	0	1	0		坐骑：符文骑士。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4447	99	2200	RideHeader2_11							0	0	0	1	0		坐骑：鸵鸟。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4448	99	2200	Ride2_15							0	0	0	1	0		坐骑：河马。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4449	99	2200	Ride2_11							0	0	0	1	0		坐骑：马车。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4450	99	2200	Ride2_13							0	0	0	1	0		坐骑：天马。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4451	99	2200	Ride2_9							0	0	0	1	0		坐骑：兔子。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4452	99	2200	Ride2_14							0	0	0	1	0		坐骑：舞狮。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4453	99	2200	Ride2_10							0	0	0	1	0		坐骑：驯鹿。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4454	99	2200	RideHeader2_6							0	0	0	1	0		坐骑：象。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4455	99	2200	RideHeader1_3							0	0	0	1	0		坐骑：牦牛。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4456	99	2200	RideHeader2_12							0	0	0	1	0		坐骑：玄龟。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4457	99	2200	RideHeader2_10							0	0	0	1	0		坐骑：陆吾。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4458	99	2200	RideHeader2_13							0	0	0	1	0		坐骑：木牛流马。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4459	99	2200	RideHeader2_14							0	0	0	1	0		坐骑：符文骑士。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4460	99	2200	RideHeader2_11							0	0	0	1	0		坐骑：鸵鸟。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4461	99	2200	Ride2_12							0	0	0	1	0		坐骑：雪羽。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4462	99	2200	RideHeader2_7							0	0	0	1	0		坐骑：飞龙。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4463	99	2200	RideHeader2_16							0	0	0	1	0		坐骑：巨人。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4464	99	2200	Ride2_3							0	0	0	1	0		坐骑：雪橇。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4465	99	2200	Ride2_4							0	0	0	1	0		坐骑：紫电。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4466	99	2200	Ride2_16							0	0	0	1	0		坐骑：冥羽。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4467	99	2200	RideHeader2_8							0	0	0	1	0		坐骑：如意熊。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4468	99	2200	Ride2_5							0	0	0	1	0		坐骑：碧水金睛兽。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4469	99	2200	Ride2_6							0	0	0	1	0		坐骑：年兽。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4470	99	2200	Ride2_7							0	0	0	1	0		坐骑：花车。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4471	99	2200	Ride2_8							0	0	0	1	0		坐骑：旋转木马。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4472	99	2200	RideHeader3_1							0	0	0	1	0		坐骑：白云。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4473	99	2200	RideHeader3_2							0	0	0	1	0		坐骑：黑土。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4474	99	2200	RideHeader3_3							0	0	0	1	0		坐骑：巨猿。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4475	99	2200	RideHeader3_5							0	0	0	1	0		坐骑：琉璃凤。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4476	99	2200	RideHeader3_8							0	0	0	1	0		坐骑：银月狼。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4477	99	2200	RideHeader3_12							0	0	0	1	0		坐骑：烈焰狮。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4478	99	2200	RideHeader3_7							0	0	0	1	0		坐骑：如意虎。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4479	99	2200	RideHeader3_10							0	0	0	1	0		坐骑：龙血马。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4480	99	2200	RideHeader3_4							0	0	0	1	0		坐骑：鹜影雕。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4481	99	2200	RideHeader3_6							0	0	0	1	0		坐骑：瑞莲鹤。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4482	99	2200	RideHeader3_9							0	0	0	1	0		坐骑：七彩鹿。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4483	99	2200	RideHeader3_11							0	0	0	1	0		坐骑：青牦牛。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4484	99	2200	RideHeader3_13							0	0	0	1	0		翅膀：幻羽。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4485	99	2200	RideHeader3_14							0	0	0	1	0		坐骑：闪电貂。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4486	99	2200	RideHeader3_15							0	0	0	1	0		坐骑：蝶羽。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4487	99	2200	RideHeader2_10							0	0	0	1	0		坐骑：陆吾。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4488	99	2200	RideHeader3_16							0	0	0	1	0		坐骑：巴天虎。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4489	99	2200	RideHeader4_4							0	0	0	1	0		坐骑：飞龙椅。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4490	99	2200	RideHeader4_1							0	0	0	1	0		坐骑：羚羊。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4491	99	2200	RideHeader4_2							0	0	0	1	0		坐骑：雪羚羊。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4492	99	2200	RideHeader4_3							0	0	0	1	0		坐骑：幽光羚。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4493	99	2200	RideHeader4_5							0	0	0	1	0		坐骑：火焰貂。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4494	99	2200	RideHeader4_6							0	0	0	1	0		坐骑：熊猫。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4495	99	2200	RideHeader4_7							0	0	0	1	0		坐骑：雷刃兽。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4496	99	2200	RideHeader4_8							0	0	0	1	0		坐骑：赤魅鹰。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4497	99	2200	RideHeader4_9							0	0	0	1	0		坐骑：暗魅鹰。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4498	99	2200	RideHeader4_10							0	0	0	1	0		坐骑：紫魅鹰。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4499	99	2200	RideHeader5_1							0	0	0	1	0		坐骑：江南锁甲马。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4500	99	2200	RideHeader5_2							0	0	0	1	0		坐骑：大漠金戈马。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4501	99	2200	RideHeader5_12							0	0	0	1	0		坐骑：赤麟白泽。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4502	99	2200	RideHeader5_13							0	0	0	1	0		坐骑：青麟白泽。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4503	99	2200	RideHeader6_14							0	0	0	1	0		坐骑：天河灵鹊。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4504	99	2200	RideHeader6_16							0	0	0	1	0		坐骑：黑天马。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4505	99	2200	RideHeader8_8							0	0	0	1	0		坐骑：云霄羽翼。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4506	99	2200	RideHeader9_5							0	0	0	1	0		坐骑：梦灵仙驹。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4507	99	2200	RideHeader4_11							0	0	0	1	0		坐骑：绝地。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4508	99	2200	RideHeader9_11							0	0	0	1	0		坐骑：憨宝熊。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4509	99	2200	RideHeader4_12							0	0	0	1	0		坐骑：蹑景。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4510	99	2200	RideHeader4_12							0	0	0	1	0		坐骑：蹑景·典藏。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4511	99	2200	RideHeader4_13							0	0	0	1	0		坐骑：六合舆。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4512	99	2200	RideHeader4_14							0	0	0	1	0		坐骑：渡情。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4513	99	2200	RideHeader5_13							0	0	0	1	0		坐骑：凌霄。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4514	99	2200	CircularTaskTool90_3							0	0	0	1	0		坐骑：垂云翼。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4515	99	2200	RideHeader4_15							0	0	0	1	0		坐骑：红熊王。您已激活的坐骑中最高移动速度+80%。	99	0	1	1	
4516	99	2200	RideHeader1_9							0	0	0	1	0		坐骑：陆行雕。您已激活的坐骑中最高移动速度+85%。	99	0	1	1	
4517	99	2200	RideHeader1_13							0	0	0	1	0		坐骑：虎。您已激活的坐骑中最高移动速度+85%。	99	0	1	1	
4518	99	2200	RideHeader1_1							0	0	0	1	0		坐骑：黄骠马。您已激活的坐骑中最高移动速度+85%。	99	0	1	1	
4519	99	2200	RideHeader1_11							0	0	0	1	0		坐骑：骆驼。您已激活的坐骑中最高移动速度+85%。	99	0	1	1	
4520	99	2200	RideHeader2_2							0	0	0	1	0		坐骑：鹤。您已激活的坐骑中最高移动速度+85%。	99	0	1	1	
4521	99	2200	RideHeader1_16							0	0	0	1	0		坐骑：青凤。您已激活的坐骑中最高移动速度+85%。	99	0	1	1	
4522	99	2200	RideHeader1_3							0	0	0	1	0		坐骑：牦牛。您已激活的坐骑中最高移动速度+85%。	99	0	1	1	
